platform,item_category,brand,condition,final_sale_price,original_list_price,days_to_sale,listing_day_of_week,listing_time,sold_date,title,item_id,image_url
eBay,denim jacket,Unknown,Good,115.0,115.0,,Wednesday,22:10,2026-04-01,Vintage Grey Leather Jacket Y2K Zip Up Minimal Biker Moto Streetwear Cropped Fit,v1|147235480933|0,https://i.ebayimg.com/images/g/UdoAAeSwiSJpzT23/s-l225.jpg
eBay,denim jacket,Unknown,New,55.0,55.0,,Wednesday,22:09,2026-04-01,Michael Stars Jean Linen Button-Front Jacket Women's Size Med/Lg White ,v1|137188125875|0,https://i.ebayimg.com/images/g/-bQAAeSwlcZpzZhD/s-l225.jpg
eBay,denim jacket,Unknown,Good,76.74,76.74,,Wednesday,22:09,2026-04-01,Hudson Jeans Women Blue Denim Jacket S,v1|306855968592|0,https://i.ebayimg.com/images/g/TlgAAeSwrdVpzZjZ/s-l225.jpg
eBay,denim jacket,Gap,Like New,24.0,24.0,,Wednesday,22:09,2026-04-01,Vtg Gap Sherpa Lined Denim Trucker Jean Jacket Y2K Dopamine Chore Cozy 2008,v1|358399727091|0,https://i.ebayimg.com/images/g/O2sAAeSwsfJpele3/s-l225.jpg
eBay,denim jacket,Unknown,Good,40.0,40.0,,Wednesday,22:08,2026-04-01,Levi Strauss 70506-0216 4 Pocket USA Made Vintage Denim Blue Jean Jacket 42,v1|227282877385|0,https://i.ebayimg.com/images/g/OqIAAOSwi6plOYmq/s-l225.jpg
eBay,denim jacket,Unknown,Like New,15.99,15.99,,Wednesday,22:08,2026-04-01,EST 1946 White Denim Jacket Women’s Size Small,v1|406821278557|0,https://i.ebayimg.com/images/g/H9IAAeSw6sppzZb8/s-l225.jpg
eBay,denim jacket,Unknown,Like New,54.98,54.98,,Wednesday,22:08,2026-04-01,Walls Blizzard Pruf Mens Denim Jacket Blue Corduroy Collar Insulated XL,v1|287247571781|0,https://i.ebayimg.com/images/g/Go4AAeSwuTxpzZfh/s-l225.jpg
eBay,denim jacket,Unknown,Good,30.0,30.0,,Wednesday,22:08,2026-04-01,BlankNYC Pearl/Rhinestone Embellished Distressed Jean Jacket size S,v1|178013968042|0,https://i.ebayimg.com/images/g/6fkAAeSw3PFpLkOu/s-l225.jpg
eBay,denim jacket,Unknown,Good,29.9,29.9,,Wednesday,22:08,2026-04-01,True Religion Cotton Denim Trucker Jacket Dark Blue Piper Womens XS,v1|397789866493|0,https://i.ebayimg.com/images/g/B~IAAOSw9sBnuhaY/s-l225.jpg
eBay,denim jacket,Unknown,Good,94.74,94.74,,Wednesday,22:07,2026-04-01,Ulla Johnson Women Pink Denim Jacket P,v1|306855966754|0,https://i.ebayimg.com/images/g/8FEAAeSwZJ9pzZgw/s-l225.jpg
eBay,denim jacket,Unknown,Good,107.0,107.0,,Wednesday,22:07,2026-04-01,WHITELAND Denim Jackets Black F 2200670708031,v1|227282876207|0,https://i.ebayimg.com/images/g/bz8AAeSwnBhpzZcY/s-l225.jpg
eBay,denim jacket,Unknown,Like New,48.0,48.0,,Wednesday,22:06,2026-04-01,Lucky Brand Patchwork Denim Jacket Tomboy Trucker Boho 70s Vintage Reworked,v1|178013965703|0,https://i.ebayimg.com/images/g/PhQAAeSwjAVpzZa3/s-l225.jpg
eBay,denim jacket,Unknown,Good,499.99,499.99,,Wednesday,22:06,2026-04-01,Vintage Marithé & François Girbaud Leather Over Coat Jacket Avant Garde Size-M,v1|298183848473|0,https://i.ebayimg.com/images/g/FoMAAeSw6o1pzZbO/s-l225.jpg
eBay,denim jacket,Unknown,Like New,15.0,15.0,,Wednesday,22:06,2026-04-01,Vintage Paris Blues Womens Jean Jacket Size Medium Stone Washed Stretch Boho,v1|397789863640|0,https://i.ebayimg.com/images/g/H2EAAeSwvohpzZZg/s-l225.jpg
eBay,denim jacket,Unknown,Like New,59.99,59.99,,Wednesday,22:05,2026-04-01,Women's Z Jeans Dark Denim Jacket Size S Button Front Casual,v1|358399708780|0,https://i.ebayimg.com/images/g/1KkAAeSw3bppzZEU/s-l225.jpg
eBay,denim jacket,Unknown,New,79.99,79.99,,Wednesday,22:05,2026-04-01,G Star Raw Relaxed Denim Jacket Women Sz XL,v1|236730016162|0,https://i.ebayimg.com/images/g/WbIAAeSwM9xpzZXT/s-l225.jpg
eBay,denim jacket,Gucci,Good,323.74,323.74,,Wednesday,22:05,2026-04-01,Gucci Women Black Vintage Denim Jacket 42 italian,v1|127785913068|0,https://i.ebayimg.com/images/g/QYQAAeSwWIVpzZdY/s-l225.jpg
eBay,denim jacket,Unknown,Fair,60.0,60.0,,Wednesday,22:04,2026-04-01,Vintage Big Mac Chore Coat Workwear Denim Jacket Mens Size 2XLT,v1|358399706170|0,https://i.ebayimg.com/images/g/VAcAAeSwf7JpzZUa/s-l225.jpg
